s,N,a,ratio_neg,ratio_pos,,
0.587786665,2000,2,0.991323288,1.051708694,,
0.587786665,3000,2,0.995229916,0.986487059,,
0.587786665,5000,2,1.012050376,1.005180735,,
0.587786665,7000,2,0.983156684,1.033880287,,
0.587786665,10000,2,0.988528592,1.016132445,,
0.587786665,50000,2,1.008026425,0.999877365,,
0.587786665,100000,2,0.957953187,0.995464003,,
0.587786665,100,3,0.981090433,1.321214814,,
0.587786665,200,3,1.01322414,1.214622734,,
0.587786665,300,3,1.036858731,1.214296704,,
0.587786665,500,3,1.030690586,1.122157344,,
0.587786665,700,3,0.99748142,1.154038146,,
0.587786665,1000,3,1.039504659,1.093204791,,
0.587786665,2000,3,0.998958048,1.083345538,,
0.587786665,3000,3,1.034717454,1.02550019,,
0.587786665,5000,3,1.013494639,1.023101357,,
0.587786665,7000,3,0.99661083,1.047657405,,
0.587786665,10000,3,0.977621868,1.009668887,,
0.587786665,50000,3,0.986789604,1.015770979,,
0.587786665,100000,3,0.959086286,0.999539589,,
0.587786665,100,4,1.06300504,1.461205586,,
0.587786665,200,4,1.074181384,1.331257171,,
0.587786665,300,4,1.096793194,1.318309185,,
0.587786665,500,4,1.079841686,1.221535892,,
0.587786665,700,4,1.038507172,1.216959352,,
0.587786665,1000,4,1.066330067,1.134368597,,
0.587786665,2000,4,1.029849534,1.109618462,,
0.587786665,3000,4,1.073716547,1.053702988,,
0.587786665,5000,4,1.015767757,1.066171569,,
0.587786665,7000,4,1.012221158,1.082958789,,
0.587786665,10000,4,0.990176552,1.034551255,,
0.587786665,50000,4,1.004085105,0.998909745,,
0.587786665,100000,4,0.964078256,1.010999852,,
0.587786665,100,5,1.169445645,1.687708375,,
0.587786665,200,5,1.164029779,1.491712651,,
0.587786665,300,5,1.150213808,1.453513557,,
0.587786665,500,5,1.137278991,1.315053246,,
0.587786665,700,5,1.0851484,1.288076973,,
0.587786665,1000,5,1.103137475,1.208744566,,
0.587786665,2000,5,1.065390264,1.141363138,,
0.587786665,3000,5,1.109506071,1.109755137,,
0.587786665,5000,5,1.033203633,1.093203253,,
0.587786665,7000,5,1.024153503,1.104781343,,
0.587786665,10000,5,1.013190533,1.050400771,,
0.587786665,50000,5,1.030736531,1.004935111,,
0.587786665,100000,5,0.956688937,1.023885397,,
0.587786665,100,6,1.285523961,1.965312902,,
0.587786665,200,6,1.257388355,1.659429076,,
0.587786665,300,6,1.216013955,1.610588017,,
0.587786665,500,6,1.20213542,1.453456829,,
0.587786665,700,6,1.149761011,1.377069291,,
0.587786665,1000,6,1.151333819,1.299311322,,
0.587786665,2000,6,1.095878925,1.205078439,,
0.587786665,3000,6,1.139554747,1.165055946,,
0.587786665,5000,6,1.051453509,1.129036254,,
0.587786665,7000,6,1.04381916,1.126653349,,
0.587786665,10000,6,1.048175967,1.081487099,,
0.587786665,50000,6,1.037859376,1.01608374,,
0.587786665,100000,6,0.95376347,1.024367225,,
0.587786665,100,7,1.414061516,2.274317829,,
0.587786665,200,7,1.364782904,1.877515941,,
0.587786665,300,7,1.312071245,1.769371727,,
0.587786665,500,7,1.290338763,1.588531595,,
0.587786665,700,7,1.222344459,1.472193296,,
0.587786665,1000,7,1.218197327,1.387048509,,
0.587786665,2000,7,1.13395885,1.28259309,,
0.587786665,3000,7,1.17272766,1.224398777,,
0.587786665,5000,7,1.090019813,1.173625079,,
0.587786665,7000,7,1.064723273,1.161641106,,
0.587786665,10000,7,1.072023657,1.108033925,,
0.587786665,50000,7,1.03956201,1.023402374,,
